번호,개방서비스명,소재지전화,도로명전체주소,사업장명,업태구분명,진료과목내용명
70,의원,031-356-7674,"경기도 화성시 만세구 남양읍 시청로 3, 2층",남양참플란트치과의원,치과의원,구강악안면외과 치과보철과 치과교정과 소아치과 치주과 치과보존과 구강내과 영상치의학과 구강병리과 예방치과
71,의원,031-353-2886,"경기도 화성시 만세구 향남읍 향남로 392, 우성메디피아 3층 306호",스마일팩토리치과교정과치과의원,치과의원,구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과
72,의원,031-356-7470,"경기도 화성시 만세구 수노을중앙로 146, 호평프라자 5층 502,503호 (새솔동)",365청담한의원,한의원,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과
73,의원,031-353-2253,"경기도 화성시 만세구 향남읍 상신하길로328번길 20, 301~304,401~403호",향남두리이비인후과의원,의원,가정의학과 재활의학과 이비인후과 소아청소년과 정형외과 내과
74,의원,031-357-7584,"경기도 화성시 만세구 수노을중앙로 146, 호평프라자 5층 504호 (새솔동)",새솔조은내과의원,의원,가정의학과 비뇨의학과 피부과 이비인후과 소아청소년과 정신건강의학과 신경과 내과
75,의원,031-355-9999,"경기도 화성시 만세구 수노을중앙로 146, 호평프라자 301,302호 (새솔동)",아이앤미의원,의원,가정의학과 비뇨의학과 피부과 이비인후과 소아청소년과 성형외과 정형외과 정신건강의학과 신경과 내과
76,의원,031-8077-9661,"경기도 화성시 만세구 수노을중앙로 146, 4층 (403,404,405,406,407)호 (새솔동)",송산두리이비인후과의원,의원,피부과 이비인후과 소아청소년과 내과
77,의원,031-356-2881,"경기도 화성시 만세구 수노을중앙로 146, 호평프라자 401,402호 (새솔동)",송산탑치과의원,치과의원,예방치과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과
78,의원,031-8043-5469,"경기도 화성시 만세구 향남읍 상신하길로 326, 301,302호",아이웰소아청소년과의원,의원,피부과 이비인후과 소아청소년과 내과
79,의원,031-357-2259,"경기도 화성시 만세구 수노을중앙로 142, 302,303호 (새솔동)",바로플란트 치과의원,치과의원,구강악안면외과 치과보철과 치과교정과 소아치과 치주과 치과보존과 구강내과 영상치의학과 구강병리과 예방치과 통합치의학과
80,의원,031-354-7599,"경기도 화성시 만세구 향남읍 발안로 111, 3층전체, 5층일부층",더바른신경외과의원,의원,신경과 외과 정형외과 신경외과 마취통증의학과 재활의학과
81,의원,031-358-1275,"경기도 화성시 만세구 우정읍 3.1만세로 19, 2,3층",서울바른마취통증의학과의원,의원,마취통증의학과
82,의원,031-353-5117,"경기도 화성시 만세구 향남읍 상신하길로298번길 7-29, 302호",사계절한의원,한의원,침구과 사상체질과 한방재활의학과 한방신경정신과 한방안·이비인후·피부과 한방소아과 한방부인과 한방내과
83,의원,031-353-3390,"경기도 화성시 만세구 향남읍 평4길 3, 2층",하나로한의원,한의원,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과
84,의원,031-275-2875,"경기도 화성시 만세구 남양읍 시청로 119, 4층 403,404호",배치과의원,치과의원,구강악안면외과 치과보철과 소아치과 치주과 치과보존과 구강내과 영상치의학과 구강병리과 예방치과 통합치의학과
85,의원,031-357-9409,"경기도 화성시 만세구 송산면 사강로 183-1, 사강새마을금고 4층",미소한의원,한의원,한방내과 한방소아과 사상체질과 침구과
86,의원,031-8055-0792,"경기도 화성시 만세구 향남읍 상신하길로298번길 7-29, 305호",닥터홍치과의원,치과의원,예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과
87,의원,031-356-9992,"경기도 화성시 만세구 남양읍 남양성지로 135, 402호",재령한의원,한의원,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과
88,의원,031-357-2885,"경기도 화성시 만세구 남양읍 시청로160번길 46-13, 2층 205~207호",남양스타치과의원,치과의원,예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과
89,의원,031-366-8644,"경기도 화성시 만세구 서신면 매화2길 53-3, 1,2층",경희내외한의원,한의원,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과
90,의원,031-356-4024,"경기도 화성시 만세구 송산면 사강로 193, 2층",송산사강한의원,한의원,침구과 사상체질과 한방재활의학과 한방신경정신과 한방안·이비인후·피부과 한방소아과 한방부인과 한방내과
91,의원,031-357-1077,"경기도 화성시 만세구 마도면 화성로790번길 10, 1,2층",마도메디의원,의원,가정의학과 결핵과 재활의학과 진단검사의학과 비뇨의학과 피부과 이비인후과 안과 소아청소년과 산부인과 마취통증의학과 성형외과 심장혈관흉부외과 신경외과 정형외과 외과 정신건강의학과 신경과 내과
92,의원,031-352-2888,"경기도 화성시 만세구 향남읍 상신하길로 66, 3층 304호",자연이바른치과의원,치과의원,예방치과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과보철과 구강악안면외과
93,의원,031-354-2887,"경기도 화성시 만세구 향남읍 행정중앙2로 63-3, 303호",하나플란트치과의원,치과의원,예방치과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과
94,의원,031-366-3679,"경기도 화성시 만세구 향남읍 향남로 392, 우성메디피아 403호",마음톡의원,의원,정신건강의학과
95,의원,031-366-2823,"경기도 화성시 만세구 향남읍 상신하길로298번길 11, 605,606호",튼튼어린이치과의원,치과의원,소아치과
96,의원,031-8077-2600,"경기도 화성시 만세구 남양읍 시청로 6, 205, 301~305호",남양바른탑치과의원,치과의원,구강악안면외과 치과보철과 치과교정과 소아치과 치주과 치과보존과 구강내과 영상치의학과 예방치과
97,의원,031-8055-8677,"경기도 화성시 만세구 남양읍 남양로 671, 512,513,612호",남양하나이비인후과의원,의원,가정의학과 이비인후과 소아청소년과 내과
98,의원,031-354-8775,"경기도 화성시 만세구 향남읍 발안로 107, 태성프라자 3,5층",차메디컬센터의원,의원,영상의학과 이비인후과 소아청소년과 내과
99,의원,031-356-8728,"경기도 화성시 만세구 남양읍 시청로 109, 301호",트리니티소아청소년과의원,의원,피부과 소아청소년과 내과
100,의원,031-355-8850,"경기도 화성시 만세구 남양읍 남양성지로 147, 103,204호",연합외과의원,의원,재활의학과 비뇨의학과 피부과 마취통증의학과 신경외과 정형외과 외과 내과
101,의원,031-356-4757,"경기도 화성시 만세구 마도면 화성로790번길 10, 3층",마도서울치과의원,치과의원,예방치과 영상치의학과 치과보존과 치주과 소아치과 치과보철과
102,의원,031-355-0315,"경기도 화성시 만세구 남양읍 남양시장로 81, 2층",남양삼성가정의학과의원,의원,가정의학과 비뇨의학과 피부과 이비인후과 소아청소년과 정형외과 내과
103,의원,031-353-8255,경기도 화성시 만세구 향남읍 상신하길로 66,서울명의원,의원,가정의학과 피부과 이비인후과 소아청소년과 마취통증의학과 내과
104,의원,031-353-3177,"경기도 화성시 만세구 향남읍 상신하길로298번길 7-1, 704,705,706,707호",향남 정형외과의원,의원,내과 외과 정형외과 신경외과 마취통증의학과 피부과 재활의학과
105,의원,031-359-8825,"경기도 화성시 만세구 향남읍 행정중앙2로 63-3, 202,203(일부)호",연세그리어슨신경외과의원,의원,재활의학과 마취통증의학과 신경외과 정형외과 신경과
106,의원,031-356-7499,"경기도 화성시 만세구 남양읍 남양성지로 135, 4층 401,403호",남양정형외과의원,의원,내과 외과 정형외과 마취통증의학과 산부인과 소아청소년과 이비인후과 피부과 재활의학과 가정의학과
107,의원,031-356-8663,경기도 화성시 만세구 남양읍 시청로 3,서울마취통증의학과의원,의원,재활의학과 마취통증의학과 신경외과 정형외과
108,의원,031-8043-5688,"경기도 화성시 만세구 향남읍 상신하길로298번길 7-21, 4층 407-410호",서울명진내과의원,의원,가정의학과 비뇨의학과 피부과 이비인후과 안과 소아청소년과 마취통증의학과 정형외과 외과 내과
109,의원,031-366-0140,"경기도 화성시 만세구 향남읍 상신하길로328번길 26, 301호, 402호, 403호",향남바른몸한의원,한의원,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과
110,의원,031-366-6799,"경기도 화성시 만세구 향남읍 상신하길로298번길 7-21, 4층 411,412호",위더스의원,의원,비뇨의학과 피부과
111,의원,031-8047-0022,"경기도 화성시 만세구 향남읍 상신하길로298번길 7-1, 507호",이우진내과의원,의원,비뇨의학과 피부과 이비인후과 안과 소아청소년과 외과 내과
112,의원,031-366-2854,"경기도 화성시 만세구 향남읍 상신하길로328번길 26, 404호",더휴치과의원,치과의원,구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과
113,의원,031-8047-0008,"경기도 화성시 만세구 향남읍 상신하길로328번길 26, 5층층 (키움프라자)",화성연세안과의원,의원,안과
114,의원,031-357-7569,경기도 화성시 만세구 남양읍 시청로 109,바른수정형외과의원,의원,정형외과
115,의원,031-8059-3323,"경기도 화성시 만세구 향남읍 발안양감로 211, 4층 403호",향남힘찬한의원,한의원,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과
116,의원,031-8047-0193,"경기도 화성시 만세구 향남읍 발안로 116, 2층 203호 (중앙프라자)",향남이내과의원,의원,내과
117,의원,031-366-2526,"경기도 화성시 만세구 향남읍 상신하길로298번길 7-21, 1동 507~510호, 2동 506,507,509호일부(7-23번지)",향남드림치과의원,치과의원,구강악안면외과 치과보철과 치과교정과 소아치과 치주과 치과보존과 구강내과 영상치의학과 구강병리과 예방치과 통합치의학과
118,의원,031-366-1003,"경기도 화성시 만세구 향남읍 상신하길로298번길 7-21, 1동 5층 511,512호 (kt시네마)",리앤김소아청소년과의원,의원,피부과 이비인후과 소아청소년과 내과
119,의원,031-8047-9030,경기도 화성시 만세구 남양읍 남양서로613번길 12,송재영자연통합의원,의원,내과
120,의원,031-366-0356,"경기도 화성시 만세구 향남읍 행정중앙2로 63-9, 2층",성모탑내과의원,의원,이비인후과 소아청소년과 내과
121,의원,031-351-3536,"경기도 화성시 만세구 우정읍 조암서로 3, 2층",경희제일한의원,한의원,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과
122,의원,031-366-8201,"경기도 화성시 만세구 남양읍 현대연구소로 150, 233동 산업보건센터 2층일부호",학교법인제한학원 남양현대한의원,한의원,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과
123,의원,031-353-8286,"경기도 화성시 만세구 향남읍 상신하길로298번길 7-1, 4층 401호",코랄이비인후과의원,의원,이비인후과 소아청소년과 내과
124,의원,031-353-0022,경기도 화성시 만세구 향남읍 상신하길로298번길 7-1,서울리더스치과의원,치과의원,예방치과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과
125,의원,031-358-8275,경기도 화성시 만세구 우정읍 조암남로 8,서울의원,의원,가정의학과
126,의원,031-352-0911,"경기도 화성시 만세구 향남읍 행정서로3길 34-6 (3,4층)",사단법인 공감직업환경의학센터 향남공감의원,의원,내과 정형외과 소아청소년과 이비인후과 가정의학과 직업환경의학과
127,의원,031-8050-2224,"경기도 화성시 만세구 향남읍 행정중앙2로 39, 201~202호 (태성메디컬프라자)",향남피부과의원,의원,피부과
128,의원,031-353-7757,"경기도 화성시 만세구 향남읍 행정중앙2로 63-3, 5층 503호 (향남,백상프라자)",서울에스케이의원,의원,피부과
129,의원,031-8059-2428,"경기도 화성시 만세구 향남읍 삼천병마로 207, 3층",우리가족치과의원,치과의원,통합치의학과 예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과
130,의원,031-354-3036,"경기도 화성시 만세구 향남읍 향남로 392, 405호 우성메디피아",향남밝은안과의원,의원,안과 성형외과
131,의원,031-355-5202,"경기도 화성시 만세구 남양읍 시청로 109, 501호 (한국프라자)",연세플란트치과의원,치과의원,예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과보철과
132,의원,031-356-3542,"경기도 화성시 만세구 남양읍 남양성지로 151, 302호 (현대프라자)",남양수내과의원,의원,내과 소아청소년과 이비인후과 피부과
133,의원,031-353-1975,"경기도 화성시 만세구 향남읍 행정중앙2로 67, 201호 (향남프라자)",서울베스트치과의원,치과의원,통합치의학과 예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과
134,의원,031-8059-7995,"경기도 화성시 만세구 향남읍 행정중앙2로 33, 302~303호 (성지프라자)",향남봄소아청소년과의원,의원,소아청소년과 이비인후과 피부과
135,의원,031-366-7252,"경기도 화성시 만세구 남양읍 시청로 115, 2층 (2072-9)",홈케어의원,의원,가정의학과 재활의학과 비뇨의학과 피부과 이비인후과 안과 소아청소년과 산부인과 마취통증의학과 신경외과 정형외과 외과 정신건강의학과 신경과 내과
136,의원,031-352-0003,"경기도 화성시 만세구 향남읍 삼천병마로 194, 404호 (성우빌딩)",이태흥치과의원,치과의원,통합치의학과 예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과
